Nume actiune, timestamp
Displayed items from inventory, 23:59:59.076286300
Checked if item is auctionable, 23:59:59.088254600
Added item to auction, 23:59:59.089252600
Displayed items from inventory, 23:59:59.090249100
Checked if item is auctionable, 23:59:59.090249100
Added item to auction, 23:59:59.090249100
Displayed items from inventory, 23:59:59.091246500
Checked if item is auctionable, 23:59:59.091246500
Added item to auction, 23:59:59.091246500
Login, 00:00:01.602633600
Login, 00:00:03.385558400
Participate in auction, 00:00:03.385558400
Login, 00:00:03.386559200
Bid made, 00:00:04.389283700
Logged auction, 00:00:25.418292100
Looked-up item in inventory, 00:00:25.419289600
Login, 00:00:37.327743200
Displayed buyer's related auctions, 00:00:37.332729100
Login, 00:00:40.318633
Appraised item, 00:00:42.589304400
Checked if item is auctionable, 00:00:42.590301500
Added item to auction, 00:00:42.590301500
Displayed scheduled auctions, 00:00:42.590301500
